number	file_name	vulnerability	severity	is_sensitively_vulnerable	CWE/CVE/New	confidence_score	sensitive_function_responsible	standard_or_custom	explanation	code_snippet
5317	threatintelligence.com.js	Information Exposure via Debug Logging	Medium	false	CWE-200	N/A	N/A	N/A	{The vulnerability arises from the `pwaSettings.debug = true;` configuration, which enables debug logging via the `log()` function. This function logs messages to the console using `console.log('RTSW:', ...args);`, potentially exposing sensitive information during development or in production if not properly managed. However, this is not caused by misuse of a sensitive JavaScript function like `importScripts()` or `eval()`, but rather by a configuration setting that enables verbose logging.}	```pwaSettings.debug = true;```
5318	typografie.info.js	Server Side Request Forgery (SSRF	High	true	N/A	N/A	fetch	standard	{The fetch function is used with a dynamically constructed URL that includes the `id` parameter from the push event data. Since this data is received from an external source (push notification), it can be controlled by an attacker, allowing them to forge requests to internal or external endpoints, leading to SSRF.}	```const promiseChain = fetch(`${BASE_URL}index.php?app=core&module=system&controller=notifications&do=fetchNotification&id=${id}`, { method: 'POST', credentials: 'include' })```
5319	typografie.info.js	Open Redirect	Medium	true	N/A	N/A	navigate	standard	{The navigate function is used with a URL derived from the `data.url` field in the notification data, which is obtained from a push event. Since this data is untrusted and can be controlled by an attacker, it enables open redirect attacks, allowing users to be redirected to arbitrary websites.}	```clients[0].navigate(data.url ? data.url : BASE_URL)```
5320	typografie.info.js	Server Side Request Forgery (SSRF	High	true	N/A	N/A	fetch	standard	{The fetch function is used with a dynamically constructed URL that includes the `path` parameter from the request URL. Since this parameter is derived from the client's request, it can be manipulated by an attacker to forge requests to unintended endpoints, resulting in SSRF.}	```fetch(`${BASE_URL}index.php?app=core&module=system&controller=ajax&do=getCsrfKey&path=${path}`)```
5321	typografie.info.js	XSS in Notification Content	Medium	false	N/A	N/A	N/A	N/A	{The vulnerability arises from unsanitized user-controlled data being passed to the `pluralize` function, which is then used in the notification body. However, this is not due to misuse of a sensitive JavaScript function like `eval` or `innerHTML`, but rather due to improper sanitization of data before rendering.}	```body: pluralize(grouped.replace('{count}', unseenCount), unseenCount)```
5322	gwpz78x.top.js	Insecure IndexedDB Usage Leading to SSRF	High	true	CWE-918	10	fetch	standard	{The function `fetch` is used with a URL constructed from `e.baseURL`, which is retrieved from IndexedDB via the `g` function. Since `baseURL` is stored in IndexedDB and potentially controlled by an attacker (if the database is compromised or manipulated), this allows for SSRF attacks where the service worker can be trickled into making requests to arbitrary internal or external endpoints. The `fetch` function is a standard JavaScript API and is sensitive when used with untrusted or unsanitized input, as it can be exploited to access internal resources or bypass network restrictions.}	"```const e = await g(""syncStore""), n = await (await fetch(`${e.baseURL}/active_mirrors`)).json();```"
5323	trustless.computer.js	Improper Validation of Cached Content Type	Medium	false	N/A	0	N/A	N/A	{The vulnerability arises from caching responses without validating the content type, but it is not caused by misuse of a sensitive function such as importScripts, eval, or similar. The caching logic uses standard fetch and caches APIs correctly, but lacks checks to ensure only expected content types (e.g., images) are cached. This is a logic flaw, not a sensitive function misuse.}	```if (response && response.status === 200) { const responseClone = response.clone(); caches.open('pwa-image-cache').then(cache => { cache.put(event.request, responseClone); }); }```
5324	angularjswiki.com.js	Improper Error Handling in Network-First Strategy	High	false	N/A	0	N/A	N/A	{The vulnerability arises from improper error handling in the network-first strategy, not from misuse of a sensitive function. The code correctly handles network failures by falling back to cache for HTML requests, but the error is re-thrown for non-HTML requests, which may lead to unhandled exceptions and degraded user experience. No sensitive function is misused here.}	```self.toolbox.router.get('/(.*)', function (request, values, options) { return toolbox.networkFirst(request, values, options).catch(function (error) { if (request.method === 'GET' && request.headers.get('accept').includes('text/html')) { return toolbox.cacheOnly(new Request('/offline'), values, options); } throw error; }); });```
5325	nclawyersweekly.com.js	External Script Import in Service Worker	High	true	CWE-78	8	importScripts	standard	{The importScripts() function is a standard JavaScript API used in Service Workers to load and execute external scripts. When used with a hardcoded URL, it does not inherently introduce a vulnerability. However, if the URL were dynamically constructed from untrusted input (e.g., from query parameters or user-controlled data), it could lead to arbitrary script execution. In this case, the URL is hardcoded and not derived from user input, so the vulnerability is not due to sensitive function misuse but rather due to the inherent risk of loading external scripts in a Service Worker context, which can lead to code injection if the external source is compromised.}	"```importScripts(""https://api.pushnami.com/scripts/v2/pushnami-sw/6579fd041fd96a00136b189f"");```"
5326	lordandstephens.com.js	Missing Authentication for Critical Function	High	false	N/A	N/A	N/A	N/A	{The vulnerability arises from the lack of authentication checks when handling messages sent to the service worker via self.addEventListener('message'). While this is a critical function, the issue is not due to misuse of a sensitive JavaScript function but rather a design flaw in not validating the sender or content of the message.}	```self.addEventListener('message', async function handler(event) { if (event.data.command === 'deletePagesCache') { let success; try { await caches.delete(SITE_PAGES_CACHE_NAME); log('deleted', SITE_PAGES_CACHE_NAME, 'by request from page'); success = true; } catch (e) { success = false; } event.ports[0].postMessage({ success, cacheName: SITE_PAGES_CACHE_NAME }); } });```
5327	lordandstephens.com.js	Improper Input Validation	Medium	false	N/A	N/A	N/A	N/A	{The vulnerability stems from the use of a simple string inclusion check in shouldCachePageRequest, which is insufficient for robust input validation. However, this is not caused by misuse of a sensitive JavaScript function but rather a logical flaw in the validation logic.}	```function shouldCachePageRequest(request) { return PAGES_CACHE_BLACKLIST.every(blacklistedUrl => !request.url.includes(blacklistedUrl)); }```
5328	lordandstephens.com.js	Unrestricted Upload of File with Dangerous Type	Medium	false	N/A	N/A	N/A	N/A	{The vulnerability is related to the prefetchUrl function, which fetches and caches URLs without validating their content or origin. However, this is not due to misuse of a sensitive JavaScript function but rather a lack of input validation and security controls around the URL being fetched.}	```async function prefetchUrl(urlToPrefetch, cacheName) { const cacheBustedUrl = addParams(urlToPrefetch, { TIMESTAMP: Date.now() }); const url = new URL(cacheBustedUrl, location.href); try { log('prefetching', urlToPrefetch); const response = await fetch(new Request(url, { mode: 'no-cors' })); if (response.status < 400) { const cache = await caches.open(cacheName); if (cache) { await cache.put(urlToPrefetch, response); } } } catch (err) { log('error, probably offline'); } }```
5329	urbanasia.com.js	Improper Error Handling in Cache Cleanup	Medium	false	New	N/A	N/A	N/A	{The vulnerability is not caused by misuse of a sensitive function, but rather by the lack of proper error handling during cache cleanup. The code deletes old caches but does not handle potential errors that may occur during the deletion process, which could lead to inconsistent cache states or unexpected behavior.}	```self.addEventListener('activate', event => {  event.waitUntil(caches.keys().then(prevCaches => Promise.all(prevCaches.map(prevCache => {    if (prevCache !== cacheName) {      return caches.delete(prevCache);    }  }))))});```
5330	diaryofatorontogirl.com.js	Insecure Caching of Sensitive Resources	High	true	N/A	N/A	caches.open	standard	{The function caches.open is used to open a cache named 'runtime' (derived from the variable s), and then e.addAll(t) is called to add all URLs from the offlineFundamentals array to that cache. While the URLs in offlineFundamentals are hardcoded and not user-controlled, the vulnerability arises because the cache name is dynamically derived from the version variable, which is also hardcoded. However, the real risk lies in the fact that if an attacker could manipulate the version variable (e.g., via a compromised build process or injection), they could cause the service worker to cache arbitrary resources under a cache name that might be used for other purposes, potentially leading to cache poisoning or resource hijacking. The misuse is not direct user input, but the dynamic nature of the cache name and the broad scope of e.addAll(t) make this a high-risk scenario if the version or offlineFundamentals are not properly secured.}	```caches.open(s).then(function (e) { return e.addAll(t); });```
5331	europcar.se.js	Information Exposure Through an Error Message	Low	false	N/A	N/A	N/A	N/A	{The vulnerability arises from error messages that may expose internal details, but it is not caused by misuse of a sensitive function such as importScripts, eval, or dynamic code execution. The error occurs during strategy instantiation, but the input (options.offlineStrategy) is controlled by configuration and not user-supplied or untrusted.}	```const strategy = new workbox.strategies[options.offlineStrategy]();```
5332	Brunomarcshoes.com.js	Cache Poisoning	High	true	N/A	N/A	importScripts	standard	{The vulnerability arises from the use of importScripts() with dynamic URLs derived from user-controlled inputs, allowing attackers to inject malicious scripts. However, in this file, importScripts() is not used at all. The reported vulnerability likely stems from a misattribution or false positive. The actual code does not contain any direct or indirect use of importScripts(), so this vulnerability is not caused by sensitive function misuse.}	```const s = await self.caches.open(this.u); for (const t of e) await s.delete(t```
5333	Brunomarcshoes.com.js	Insecure Cache Key Generation	Medium	false	N/A	N/A	none	N/A	{The vulnerability stems from improper handling of URLs during cache key generation, but no sensitive JavaScript function is misused. The code uses standard URL manipulation, and the issue is more about logic or configuration rather than function misuse.}	```const s = new URL(t```
5334	Brunomarcshoes.com.js	SSRF Vulnerability	High	true	N/A	N/A	new Request	standard	{The code constructs a Request object from user-controlled input (e.g., from message event data) without validation, allowing attackers to forge requests to internal or external resources. This misuse of new Request() with untrusted input enables SSRF.}	```const s = new Request(...e); this.handleRequest({ request: s```
5335	Brunomarcshoes.com.js	Cache Busting Bypass	Medium	false	N/A	N/A	none	N/A	{The vulnerability is due to improper handling of URL parameters during cache key generation, but no sensitive function is misused. The issue lies in the logic of URL processing, not in the misuse of a specific function.}	```const s = new URL(t.url```
5336	Brunomarcshoes.com.js	Cache Expiration Misconfiguration	Medium	false	N/A	N/A	none	N/A	{The vulnerability arises from incorrect configuration of expiration policies, not from misuse of a sensitive function. The code correctly uses setTimestamp(), but the issue is in policy settings, not function misuse.}	```await this.I.setTimestamp(t```
5337	Brunomarcshoes.com.js	Insecure IndexedDB Usage	Medium	false	N/A	N/A	none	N/A	{The vulnerability is due to improper handling of IndexedDB operations, but no sensitive function is misused. The code uses standard IndexedDB APIs correctly; the issue lies in potential exposure or lack of access control, not function misuse.}	```const s = indexedDB.open(t```
5338	evoindia.com.js	Untrusted External Script Import	High	true	N/A	9	importScripts	standard	{The importScripts function is a standard JavaScript API used in Service Workers to load and execute external scripts. When used with a hardcoded URL from an untrusted source (e.g., cdn.onesignal.com), it introduces a high-risk vulnerability because the script could be tampered with or replaced by an attacker, leading to arbitrary code execution within the service worker context. Although the URL is hardcoded, the source is external and not under the control of the application, making it a sensitive misuse.}	```importScripts('https://cdn.onesignal.com/sdks/OneSignalSDKWorker.js');```
5339	thebourbonculture.com.js	Incorrect URL Parsing Leading to Cache Inclusion, Incorrect Url Parsing Leading To Cache Inclusion	High	true	CWE-20	N/A	.split	standard	{The code uses `split('?')` to parse URLs, which is unsafe for URLs containing query parameters. This can lead to incorrect parsing and potentially allow malicious URLs to bypass intended logic, especially when combined with `split('.')` and `reverse()[0]` to extract extensions. For example, a URL like `https://example.com/script.js?evil=malicious` would be parsed as `script.js?evil=malicious`, and the extension extraction would incorrectly return `malicious`, leading to unintended caching behavior.}	```const split_two = url.split('?'); let split_url = split_two[0]; let extension = split_url.split('.').reverse()[0].split('?')[0];```
5340	thebourbonculture.com.js	Insecure Content Caching, Insecure Content Caching	High	true	CWE-922	N/A	new URL	standard	{The code uses `new URL(match).origin == location.origin` to validate image URLs before fetching and caching them. However, `new URL()` is vulnerable to URL parsing attacks if the input is not properly sanitized. An attacker could craft a URL with a malicious origin (e.g., `https://evil.com/path?origin=thebourbonculture.com`) that might be misinterpreted by `new URL()` due to improper handling of query parameters or malformed URLs, leading to unintended caching of external content.}	```if (new URL(match).origin == location.origin) { fetch(match).then(imagedata => { cache.put(match```
5341	thebourbonculture.com.js	Insecure Cache Busting, Insecure Cache Busting	Medium	false	CWE-20	N/A	N/A	N/A	{The code checks `event.request.referrer.match(/^(wp-admin):\/\//i)` to prevent caching of certain requests. However, this is not a sensitive function misuse — it's a flawed logic pattern. The regex is incorrectly written (it matches `wp-admin` as a protocol, not a path), and the `match` is applied to a string, not a regex object. This is a logic error, not a sensitive function misuse.}	```if (event.request.referrer.match(/^(wp-admin):\/\//i)) return;```
5342	thebourbonculture.com.js	Insecure Cache Busting, Insecure Cache Busting	Medium	false	CWE-20	N/A	N/A	N/A	{The code uses `neverCacheUrls.every(pwaForWpcheckNeverCacheList, event.request.url)` to check if a URL should be cached. However, `pwaForWpcheckNeverCacheList` is not a sensitive function — it's a custom function that uses `this.match(url)`, which is intended to be called on a regex object. The issue is that `every` passes the URL as `this`, which breaks the intended logic. This is a misuse of `Array.prototype.every`, not a sensitive function misuse.}	```if (!neverCacheUrls.every(pwaForWpcheckNeverCacheList, event.request.url)) { return; }```
5343	thebourbonculture.com.js	Insecure Cache Busting, Insecure Cache Busting	Medium	false	CWE-20	N/A	N/A	N/A	{The function `pwaForWpcheckNeverCacheList(url)` uses `this.match(url)`, which expects `this` to be a regex object. However, when called via `every`, `this` becomes the URL string, leading to a TypeError or incorrect behavior. This is a logic error due to incorrect context binding, not a sensitive function misuse.}	```function pwaForWpcheckNeverCacheList(url) { if (this.match(url)) { return false; } return true; }```
5344	swisscom-learningcenter.ch.js	Deserialization of Untrusted Data	High	true	CWE-502	10	N/A	standard	{The `json()` method on `event.data` is a standard JavaScript API used to deserialize JSON data from a PushMessageData object. Since the data originates from a push notification, which can be controlled by an attacker (if the server sending the push is compromised or if the application does not validate the data), deserializing it without validation can lead to arbitrary code execution or data manipulation if the JSON structure is exploited (e.g., via prototype pollution or malicious object properties).}	```const jsonNotif = event.data.json();```
5345	coronavirus.app.js	Remote Code Execution via Untrusted Script Import	High	true	N/A	10	importScripts	standard	{The importScripts() function is a standard JavaScript API used in Service Workers to load and execute external scripts. In this case, it is used with a hardcoded URL ('https://progressier.app/VAP1dMEmm5ag8v6vNcVy/sw.js'), which is not dynamically derived from untrusted input. However, since the URL is hardcoded and not under the control of the developer (i.e., it points to an external, potentially untrusted domain), it still represents a risk if the external script is compromised. While not a classic case of sensitive function misuse due to dynamic input, the function itself is inherently sensitive because it executes arbitrary code from a remote source. Thus, the vulnerability is considered sensitive due to the nature of the function, even if the input is static.}	```importScripts('https://progressier.app/VAP1dMEmm5ag8v6vNcVy/sw.js');```
5346	gryphonhr.com.js	Information Exposure via Debug Logging	High	false	N/A	N/A	N/A	N/A	{Debug logging is enabled via pwaSettings.debug = true, which exposes internal information in console logs. This is not caused by misuse of a sensitive function but by configuration.}	```const pwaSettings = { debug: true };```
5347	gryphonhr.com.js	Improper Input Validation in Cache Matching	Medium	false	N/A	N/A	N/A	N/A	{The vulnerability arises from overly broad regex patterns in workbox.routing.registerRoute, which may match unintended URLs. This is a logic issue in route configuration, not misuse of a sensitive function.}	```workbox.routing.registerRoute(/_dm\/s\/rt\/dist.*?\.js/, cacheFirst(RUNTIME_CACHE_NAME));```
5348	gryphonhr.com.js	Unrestricted Cross-Origin Request in Prefetch	Medium	true	N/A	N/A	fetch	standard	{The fetch function is used with mode: 'no-cors', which allows cross-origin requests without proper validation of the target URL. Since the URL is constructed from user input via addParams, an attacker could manipulate it to prefetch from arbitrary origins, leading to unintended data exposure or resource consumption.}	```const response = await fetch(new Request(url, { mode: 'no-cors' }));```
5349	gryphonhr.com.js	Empty Fetch Event Handler	Low	false	N/A	N/A	N/A	N/A	{The fetch event listener is defined but does nothing, which may lead to missed opportunities for caching or security enforcement. This is not caused by misuse of a sensitive function.}	```self.addEventListener('fetch', () => {});```
5350	flannerbuchanan.com.js	Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')	Medium	true	CWE-79	9	N/A	standard	{The `template` function constructs a regular expression using `Object.keys(data).join('|')` which is directly interpolated into a regex pattern. If `data` contains user-controlled input, an attacker could craft input that alters the regex behavior, potentially leading to unintended string replacements or even XSS if the output is later rendered in a context where untrusted data is evaluated. The regex is built dynamically from untrusted data, making it vulnerable to injection.}	```const regex = new RegExp('\\<(' + Object.keys(data).join('|') + ')\\>', 'g');```
5351	flannerbuchanan.com.js	Improper Access Control	Medium	false	CWE-285	N/A	N/A	N/A	{The vulnerability arises from insufficient validation of the `command` field in the message event, but it does not stem from misuse of a sensitive JavaScript function. The issue is a logic flaw in access control, not a function misuse.}	```if (event.data.command === 'deletePagesCache') {```
5352	flannerbuchanan.com.js	Improper Neutralization of Special Elements within a Search Pattern ('Code Injection')	Medium	true	CWE-78	9	N/A	standard	{The `addParams` function uses `new URL(url)` with user-controlled `url` input. If the URL is malformed or contains special characters, it may lead to unexpected behavior or injection into the URL object, potentially allowing an attacker to manipulate the URL structure or bypass intended logic. While not directly leading to code execution, it can enable injection into URL handling, which may be exploited in conjunction with other functions like `fetch` or `importScripts`.}	```const ur = new URL(url);```
5353	flannerbuchanan.com.js	Exposure of Sensitive Information to an Unauthorized Actor	Low	false	CWE-200	N/A	N/A	N/A	{The `pwaSettings.debug = true;` setting exposes debug logs via `console.log`, but this is not caused by misuse of a sensitive function. It is a configuration issue, not a function misuse.}	```pwaSettings.debug = true;```
5354	cymba.co.uk.js	Improper Neutralization of User-Supplied Input in URL Parameter Handling	Medium	true	CWE-113	N/A	template	standard	{The `template` function is used within `addParamsNative` to interpolate parameters into a URL string. It uses a regex-based replacement that does not properly sanitize or validate input, allowing for potential injection of malicious URL components if the input parameters are not trusted. This can lead to unintended URL construction and potentially redirect or manipulate requests.}	```function addParamsNative(url = '', params = {}) { const [noHash = '', hash = ''] = url.split('#'); let [domain = '', search = ''] = noHash.split('?'); search = search ? [search] : []; const searchStr = search.concat(Object.keys(params).map(k => { const v = params[k]; return v === true ? k : template('<k>=<v>', { k, v }); })).join('&'); const res = domain + (searchStr ? template('?<0>', [searchStr]) : '') + (hash ? template('#<0>', [hash]) : ''); return res; }```
5355	cymba.co.uk.js	Overly Broad Regular Expression in Cache Matching	Medium	false	CWE-113	N/A	N/A	N/A	{The vulnerability arises from overly broad regex patterns used in `workbox.routing.registerRoute`, such as `/.*?d[dp]-cdn\.multiscreensite\.com.*?/`, which may match unintended URLs. However, this is not due to misuse of a sensitive function but rather poor pattern design.}	```workbox.routing.registerRoute(/.*?d[dp]-cdn\.multiscreensite\.com.*?/, cacheFirst(RUNTIME_CACHE_NAME));```
5356	cymba.co.uk.js	Unrestricted Cache Deletion via Message Command	Medium	false	CWE-352	N/A	N/A	N/A	{The vulnerability stems from allowing any page to trigger cache deletion via a message event without authentication or authorization checks. This is a logic flaw, not misuse of a sensitive function.}	```self.addEventListener('message', async function handler(event) { if (event.data.command === 'deletePagesCache') { let success; try { await caches.delete(SITE_PAGES_CACHE_NAME); log('deleted', SITE_PAGES_CACHE_NAME, 'by request from page'); success = true; } catch (e) { success = false; } event.ports[0].postMessage({ success, cacheName: SITE_PAGES_CACHE_NAME }); } });```
5357	cymba.co.uk.js	Empty Fetch Event Listener Bypassing Caching Strategies	High	false	New	N/A	N/A	N/A	{The `fetch` event listener is empty (`() => {}`), which bypasses all caching logic defined elsewhere. This is a configuration error, not misuse of a sensitive function.}	```self.addEventListener('fetch', () => {});```
5358	cymba.co.uk.js	No-CORS Fetch in Prefetch Leading to Opaque Response Caching	Low	true	CWE-200	N/A	fetch	standard	{The `fetch` function is used with `mode: 'no-cors'` in `prefetchUrl`, which results in opaque responses. These responses cannot be inspected or validated, leading to potential caching of unverified or malicious content. The misuse lies in using `fetch` with `no-cors` mode without proper validation or security checks.}	```async function prefetchUrl(urlToPrefetch, cacheName) { const cacheBustedUrl = addParams(urlToPrefetch, { TIMESTAMP: Date.now() }); const url = new URL(cacheBustedUrl, location.href); try { log('prefetching', urlToPrefetch); const response = await fetch(new Request(url, { mode: 'no-cors' })); if (response.status < 400) { const cache = await caches.open(cacheName); if (cache) { await cache.put(urlToPrefetch, response); } } } catch (err) { log('error, probably offline'); } }```
5359	h5games.online.js	Unvalidated Error Handling in Fetch Event Leading to Potential Denial of Service	Low	false	CWE-754	N/A	self.addEventListener('fetch', e => { 'navigate' === e.request.mode && e.respondWith((async () => { try { const a = await e.preloadResponse; return a || (await fetch(e.request)); } catch (e) { console.log('Fetch failed; returning offline page instead.', e); const a = await caches.open('offline'); return await a.match(OFFLINE_URL); } })()); });	N/A	{The vulnerability arises from unvalidated error handling during fetch operations, but it does not stem from misuse of a sensitive function. The code correctly handles fetch failures by falling back to an offline page, and no sensitive function like importScripts, eval, or dynamic code execution is involved. The issue is more about error logging and potential denial of service due to unhandled errors, not sensitive function misuse.}	N/A
5360	smart.cn.js	Improper Input Validation in Domain Check	High	true	CWE-20	9	N/A	standard	"{The vulnerability arises from using `includes()` to check if a request URL contains any allowed domain. This is unsafe because `includes()` performs substring matching, not domain validation. An attacker could craft a URL like `https://evil.com.smart.cn/path` which would match ""smart.cn"" and be considered allowed, even though the actual domain is malicious. This allows bypassing domain restrictions and potentially enabling unauthorized access or cache poisoning.}"	```const isAllowedDomain = allowedDomains.some(domain => { return event.request.url.includes(domain); });```
5361	candydirect.com.js	Improper Allowlist Construction Leading to SSRF	High	true	CWE-113	9	N/A	standard	{The vulnerability arises from the use of `RegExp` with dynamically constructed patterns derived from `hostnameRegex`, which is generated via `hostname.replace(/\./g, '\\.')`. This allows an attacker to manipulate the hostname (e.g., via DNS rebinding or crafted subdomains) to bypass the allowlist, enabling SSRF attacks. The `RegExp` function is standard and misused here because it processes untrusted input without proper sanitization, leading to unintended pattern matching.}	```const ALLOWLIST = [`^https\:\/\/${hostnameRegex}+\/($|collections|products|pages|cart|search|blogs|account|recommendations)`, `^https\:\/\/${hostnameRegex}+${proxy}`, `^https?\:\/\/(?!${hostnameRegex}).+`];```
5362	candydirect.com.js	Insecure Regex Matching for Hostname Validation	High	true	CWE-113	9	N/A	standard	{The `replace` method is used to escape dots in the hostname for regex construction, but this approach is insufficient for sanitizing arbitrary hostnames. An attacker can craft a hostname with special regex characters (e.g., `.` or `*`) that, when processed by `RegExp`, alter the intended pattern matching behavior. This misuse of `RegExp` with unsanitized input leads to insecure validation, allowing bypasses.}	```const hostnameRegex = hostname.replace(/\./g, '\\.');```
5363	candydirect.com.js	Insecure URL Parameter Handling Leading to Cache Poisoning	Medium	true	CWE-113	8	N/A	standard	{The `stripIgnoredUrlParameters` function uses `URL` and `split`/`map`/`filter` to process query parameters, but it does not validate or sanitize the input URL. If an attacker supplies a malicious URL with parameters that bypass the `ignoreUrlParametersMatching` filter, it can lead to cache poisoning. The `URL` constructor is standard and misused here because it processes untrusted input without sufficient validation, allowing manipulation of the cache key.}	```var url = stripIgnoredUrlParameters(event.request.url, ignoreUrlParametersMatching);```
5364	wardrobeshop.com.js	Improper URL Allowlist Validation	High	false	New	N/A	N/A	N/A	{The vulnerability arises from flawed regular expression construction in the ALLOWLIST array, not from misuse of a sensitive JavaScript function. The issue is in the logic of the allowlist patterns, particularly the use of `+` after `${hostnameRegex}` which causes incorrect matching behavior, but no sensitive function like eval, importScripts, or similar is involved.}	```const ALLOWLIST = [`^https\:\/\/${hostnameRegex}+\/($|collections|products|pages|cart|search|blogs|account|recommendations)`, `^https\:\/\/${hostnameRegex}+${proxy}`, `^https?\:\/\/(?!${hostnameRegex}).+`];```
5365	wardrobeshop.com.js	Code Injection via Dynamic Script Import	High	true	CWE-94	N/A	importScripts	standard	{The importScripts function is used with a dynamically constructed URL derived from the obfuscated array `a` via the `C()` function, which resolves to a remote script URL. Since the URL is not hardcoded and is built from potentially untrusted or attacker-controlled data (via the obfuscated array), this allows an attacker to inject arbitrary scripts into the service worker, leading to full compromise.}	```importScripts(C(0x143) + C(0x152) + '.' + C(0x16c) + 'apis.com/' + C(0x182) + C(0x14e) + '4' + C(0x16f) + C(0x182) + C(0x15b));```
5366	wardrobeshop.com.js	XSS via Uncached POST Data	Medium	true	CWE-79	N/A	JSON.stringify	standard	{The JSON.stringify function is used to serialize POST request data without sanitization, and the resulting string is stored in a cache via caches.put. If the POST data contains malicious scripts or HTML, and if this cached response is later served to the client without proper sanitization, it can lead to XSS. The function itself is not inherently dangerous, but its misuse in this context—where unsanitized user input is directly serialized and stored—creates a vulnerability.}	```t['put'](m, new Response(JSON[F(0x17a)](s)));```
5367	upworthyscience.com.js	Server Side Request Forgery (SSRF) via permissive regex in routing.registerRoute	Medium	true	CWE-918	9	routing.registerRoute	standard	{The routing.registerRoute function is used with a permissive regex pattern that matches any URL starting with 'https://static.rbl.ms/static/'. This allows an attacker to potentially manipulate the request path to target internal or unintended resources, leading to SSRF. The regex does not restrict the path beyond the initial prefix, enabling arbitrary resource access.}	"```routing.registerRoute(/(https:\/\/static.rbl.ms\/static\/).*/, new NetworkFirst({ cacheName: ""assets"", cacheExpiration: { maxEntries: 200, maxAgeSeconds: 10 * 24 * 60 * 60 }, cacheableResponse: { statuses: [0, 200] } }));```"
5368	covap.es.js	Caching of Sensitive Data in Service Worker	Medium	false	N/A	0	N/A	N/A	{The vulnerability is related to caching behavior, not misuse of a sensitive function. The code caches static assets using caches.open() and cache.addAll(), which are standard and safe when used with hardcoded, trusted URLs. There is no dynamic or untrusted input being passed to these functions, so no sensitive function misuse is present.}	```self.addEventListener('install', event => { event.waitUntil(caches.open('v1').then(cache => cache.addAll(['/assets/portal-corporativo/js/lib/mdb/mdb.min.js', '/assets/portal-corporativo/js/lib/splide/splide.min.js', '/assets/portal-corporativo/js/lib/mdb-6/plugins/inputmask.min.js', '/assets/portal-corporativo/js/lib/sweet-alert/sweetalert2.all.min.js', '/assets/portal-corporativo/css/lib/sweet-alert/sweetalert2.min.css'])))});```
5369	pcworld.hu.js	Open Redirect via Notification Data	High	true	CWE-601	10	clients.openWindow	standard	{The function clients.openWindow() is a standard browser API used to open a new window or tab. When it is called with a URL derived from untrusted input (here, event.notification.data.url), it can be exploited to redirect users to arbitrary websites, potentially phishing or malicious sites. Since the URL is not validated or sanitized, an attacker could craft a notification payload that includes a malicious URL, leading to an open redirect vulnerability.}	```event.waitUntil(clients.openWindow(event.notification.data.url));```
5370	bluewin.org.js	Untrusted External Script Import	High	true	CWE-434	10	importScripts	standard	{The importScripts() function is a standard JavaScript API used in Service Workers to load and execute external scripts. In this case, it is used to import a script from a hardcoded external URL. While the URL is not dynamically constructed from untrusted input, the script is loaded from an external domain (cdn-swisscom.push.delivery), which introduces a potential supply chain risk if the domain is compromised or if the script is not properly vetted. However, since the URL is hardcoded and not derived from user input or dynamic sources, the risk is lower than if it were dynamically constructed. Nonetheless, the use of importScripts() with external scripts is considered sensitive due to the potential for code injection if the script source is not fully trusted.}	```importScripts('https://cdn-swisscom.push.delivery/bluewin/3.1.2/service-worker-production.js');```
5371	exactservers.com.js	Improper Validation of Input in Push Event Handler	High	true	CWE-20	N/A	fetch	standard	{The fetch function is used with a dynamically constructed URL that includes the 'id' parameter from the push event data. Since this input is not validated or sanitized, an attacker could craft a malicious push notification with a crafted 'id' value to trigger unintended requests, potentially leading to unauthorized access or data leakage.}	```const promiseChain = fetch(`${BASE_URL}index.php?app=core&module=system&controller=notifications&do=fetchNotification&id=${id}`, { method: 'POST', credentials: 'include' })```
5372	exactservers.com.js	Reliance on Untrusted Input for Authentication State	High	true	CWE-200	N/A	RegExp.prototype.match	standard	{The match method is used on the service worker's current location.href to extract a 'loggedIn' parameter. This input is derived from the URL, which is untrusted and can be manipulated by an attacker. If an attacker can control the URL, they can spoof the authentication state, leading to unauthorized access or privilege escalation.}	```let matches = e.currentTarget.location.href.match(/loggedIn=(true|false)/); const loggedIn = matches[1];```
5373	ifheindia.org.js	Stale Cache Response Handling	Medium	false	N/A	N/A	N/A	N/A	{The vulnerability arises from the service worker's fetch handler returning a cached response without validating its freshness or handling stale responses appropriately. This is not due to misuse of a sensitive function, but rather a design or logic flaw in cache handling.}	```self.addEventListener('fetch', function (event) { event.respondWith(caches.match(event.request).then(function (response) { return response || fetch(event.request); })); });```
5374	fearless-assassins.com.js	Open Redirect	High	true	CWE-602	10	clients[0].navigate(data.url)	standard	{The function `navigate()` is used to redirect a client to a URL specified in `data.url`, which is derived from a push notification payload. Since this data is received from an external source (push message) and not sanitized or validated, an attacker could craft a malicious notification with a `data.url` pointing to an arbitrary external site, leading to an open redirect. This allows the attacker to trick users into visiting phishing or malicious sites under the guise of a legitimate notification.}	```e.waitUntil(self.clients.matchAll().then(clients => { console.log(clients); if (clients.length > 0 && 'navigate' in clients[0]) { if (data.url) { clients[0].navigate(data.url); } else { clients[0].navigate(BASE_URL); } return clients[0].focus(); } return self.clients.openWindow(data.url ? data.url : BASE_URL); }));```
